dish;type;product;amount;unit;coef;note
Тост из тартин и урбеч из расторопши;блюдо;tartin;30;г;;
Тост из тартин и урбеч из расторопши;блюдо;urbech;10;г;;
Тост с козьим сыром;блюдо;tost;50;г;;
Тост с козьим сыром;блюдо;syr_koziy;20;г;;намазка
Тост с авокадо и ветчиной из индейки;блюдо;tost;30;г;;
Тост с авокадо и ветчиной из индейки;блюдо;avokado;25;г;;
Тост с авокадо и ветчиной из индейки;блюдо;vetchina_indeyki;25;г;;
Тост с марокканским хумусом;блюдо;tost;40;г;;
Тост с марокканским хумусом;блюдо;humus;20;г;;
Венские вафли;блюдо;risovaya_muka;35;г;;рецепт из плана: партия 890 г ≈ 9 порций по 100 г
Венские вафли;блюдо;kukuruznyy_krahmal;9;г;;
Венские вафли;блюдо;razryhlitel;1;г;;
Венские вафли;блюдо;vanilnyy_sahar;1;г;;
Венские вафли;блюдо;mindalnoe_moloko;45;мл;;
Венские вафли;блюдо;olivkovoe_maslo;3;мл;;2 ст.л. на партию
Морковная запеканка;блюдо;morkov;185;г;;рецепт из плана: 500 г отварной моркови ≈ 3 порции по 200 г
Морковная запеканка;блюдо;mannaya_krupa;25;г;;3 ст.л. на партию
Морковная запеканка;блюдо;mindalnoe_moloko;20;мл;;
Морковная запеканка;блюдо;olivkovoe_maslo;5;мл;;
Морковная запеканка;блюдо;vanilnyy_sahar;3;г;;
Кабачковые вафли;блюдо;kabachki;220;г;;ПРОВЕРЬ: рецепт в плане без граммовок
Кабачковые вафли;блюдо;risovaya_muka;30;г;;ПРОВЕРЬ
Картофельные вафли с авокадо и слабосоленым лососем;блюдо;kartofel;130;г;;ПРОВЕРЬ: раскладка на глаз
Картофельные вафли с авокадо и слабосоленым лососем;блюдо;avokado;40;г;;ПРОВЕРЬ
Картофельные вафли с авокадо и слабосоленым лососем;блюдо;semga_slabosol;40;г;;ПРОВЕРЬ
Каша из киноа;блюдо;kinoa;60;г;;ПРОВЕРЬ: на молоке или на воде?
Каша из киноа;блюдо;mindalnoe_moloko;120;мл;;ПРОВЕРЬ
Овсяная каша (без глютена);блюдо;ovsyanye_hlopya;60;г;;ПРОВЕРЬ: хлопья 60 г на 200 г каши
Овсяная каша (без глютена);блюдо;mindalnoe_moloko;140;мл;;ПРОВЕРЬ
Овсяная каша без глютена на растительном молоке;блюдо;ovsyanye_hlopya;55;г;;ПРОВЕРЬ: хлопья 55 г на 180 г каши
Овсяная каша без глютена на растительном молоке;блюдо;mindalnoe_moloko;140;мл;;ПРОВЕРЬ
Рисовая каша;блюдо;ris_kruglyy;55;г;;ПРОВЕРЬ: рис 55 г на 200 г каши
Рисовая каша;блюдо;mindalnoe_moloko;150;мл;;ПРОВЕРЬ
Куриный суп с вермишелью;блюдо;kurinoe_file;80;г;;ПРОВЕРЬ: раскладка на глаз, порция 350 мл
Куриный суп с вермишелью;блюдо;vermishel_bezglyut;40;г;;ПРОВЕРЬ
Куриный суп с вермишелью;блюдо;morkov;30;г;;ПРОВЕРЬ
Куриный суп с вермишелью;блюдо;kartofel;50;г;;ПРОВЕРЬ
Уха;блюдо;hek;80;г;;ПРОВЕРЬ: по примечанию плана — из хека и лосося, порция 350 мл
Уха;блюдо;losos;80;г;;ПРОВЕРЬ
Уха;блюдо;kartofel;50;г;;ПРОВЕРЬ
Уха;блюдо;morkov;30;г;;ПРОВЕРЬ
Овощной суп на костном бульоне;блюдо;kostnyy_bulon;250;мл;;ПРОВЕРЬ: раскладка на глаз
Овощной суп на костном бульоне;блюдо;morkov;40;г;;ПРОВЕРЬ
Овощной суп на костном бульоне;блюдо;kartofel;60;г;;ПРОВЕРЬ
Овощной салат;блюдо;ogurcy;60;г;;ПРОВЕРЬ: состав салата в плане не расписан
Овощной салат;блюдо;pomidory_cherri;60;г;;ПРОВЕРЬ
Овощной салат;блюдо;listya_salata;20;г;;ПРОВЕРЬ
Овощной салат;блюдо;olivkovoe_maslo;5;мл;;ПРОВЕРЬ
Овощной салат с консервированным тунцом;блюдо;ogurcy;50;г;;ПРОВЕРЬ
Овощной салат с консервированным тунцом;блюдо;pomidory_cherri;50;г;;ПРОВЕРЬ
Овощной салат с консервированным тунцом;блюдо;listya_salata;20;г;;ПРОВЕРЬ
Овощной салат с консервированным тунцом;блюдо;tunec_konserv;50;г;;ПРОВЕРЬ
Овощной салат с консервированным тунцом;блюдо;olivkovoe_maslo;5;мл;;ПРОВЕРЬ
Огуречный салат;блюдо;ogurcy;130;г;;ПРОВЕРЬ: порция 120 г + кожура
Огуречный салат;блюдо;olivkovoe_maslo;5;мл;;ПРОВЕРЬ
Морковный салат;блюдо;morkov;95;г;;ПРОВЕРЬ
Морковный салат;блюдо;olivkovoe_maslo;5;мл;;ПРОВЕРЬ
Сырники из тофу с курагой;блюдо;tofu;150;г;;ПРОВЕРЬ: 3 шт — раскладка на глаз
Сырники из тофу с курагой;блюдо;kuraga;30;г;;ПРОВЕРЬ
Сырники из тофу с курагой;блюдо;risovaya_muka;30;г;;ПРОВЕРЬ
Фунчоза с курицей;блюдо;funchoza;60;г;;ПРОВЕРЬ: 60 г сухой на порцию 240 г
Фунчоза с курицей;блюдо;kurinoe_file;100;г;;ПРОВЕРЬ
Какао;блюдо;kakao;10;г;;ПРОВЕРЬ: по примечанию — на воде или миндальном молоке
Какао;блюдо;mindalnoe_moloko;220;мл;;ПРОВЕРЬ
Компот из шиповника;блюдо;shipovnik;15;г;;по плану 5 ст.л. на термос — ~15 г на кружку
Компот из шиповника (без сахара);блюдо;shipovnik;15;г;;
Чипсы с гималайской солью;блюдо;chipsy;30;г;;ПРОВЕРЬ: ½ пачки — какая пачка? считаю 60 г
Горячая вода;напиток;;;;;
Горячая вода с лимоном;блюдо;limon;15;г;;ПРОВЕРЬ: 1-2 дольки лимона на стакан ≈ 15 г
Дыня;блюдо;dynya;;;0.6;ПРОВЕРЬ: корка и семена ~40% веса
Ежики из индейки на пару;блюдо;ezhiki_indeyki;120;г;;ПРОВЕРЬ: 2 шт ≈ 120 г сырых, вес ежика по пачке уточни
Запеченные абрикосы;блюдо;abrikosy;;;0.85;ПРОВЕРЬ: 1 абрикос ≈ 40 г, при запекании теряет ~15%
Киви;товар;kivi;;;;1 шт ≈ 75 г
Лосось;блюдо;losos;;;0.8;ПРОВЕРЬ: способ приготовления в плане не указан, считаю запечённым стейком
Макароны по-флотски с говяжьим фаршем;блюдо;vermishel_bezglyut;70;г;;ПРОВЕРЬ: раскладка на глаз, порция 270 г — 70 г сухих макарон дают ~175 г готовых
Макароны по-флотски с говяжьим фаршем;блюдо;farsh_govyazhiy;100;г;;ПРОВЕРЬ
Макароны по-флотски с говяжьим фаршем;блюдо;olivkovoe_maslo;5;мл;;ПРОВЕРЬ
Морковные вафли;блюдо;morkov;110;г;;ПРОВЕРЬ: раскладка на глаз — порция 140 г готовых вафель из ~175 г теста
Морковные вафли;блюдо;risovaya_muka;30;г;;ПРОВЕРЬ: мука на глаз
Морковные вафли;блюдо;mindalnoe_moloko;25;мл;;ПРОВЕРЬ: жидкость на глаз
Морковные вафли;блюдо;olivkovoe_maslo;5;мл;;ПРОВЕРЬ: масло в тесто
Морковные вафли;блюдо;razryhlitel;2;г;;ПРОВЕРЬ: щепотка
Морковные вафли;блюдо;vanilnyy_sahar;3;г;;ПРОВЕРЬ: для вкуса
Морская капуста;товар;morskaya_kapusta;;;;
Овощная нарезка;блюдо;ogurcy;40;г;;ПРОВЕРЬ: состав нарезки в плане не расписан
Овощная нарезка;блюдо;pomidory_cherri;40;г;;ПРОВЕРЬ
Овощная нарезка;блюдо;morkov;20;г;;ПРОВЕРЬ
Овсяная каша;блюдо;ovsyanye_hlopya;55;г;;ПРОВЕРЬ: хлопья 55 г на 180 г каши
Овсяная каша;блюдо;mindalnoe_moloko;140;мл;;ПРОВЕРЬ
Овсяное печенье;товар;pechene_ovsyanoe;;;;покупное, 1 шт ≈ 25 г
Омлет из перепелиных яиц;блюдо;perepelinye_yayca;6;шт;;ПРОВЕРЬ: 6 яиц ≈ 72 г, порция в плане не указана
Омлет из перепелиных яиц;блюдо;mindalnoe_moloko;20;мл;;ПРОВЕРЬ: молоко в омлет на глаз
Омлет из перепелиных яиц;блюдо;olivkovoe_maslo;3;мл;;ПРОВЕРЬ: масло для жарки на глаз
Отварное/запеченное куриное филе/филе бедра безкостное;блюдо;kurinoe_file;;;0.75;ПРОВЕРЬ: среднее между отварным 0.65 и запечённым 0.8, беру филе грудки
Питьевой овсяный йогурт «Velle»;товар;velle_pitevoy_ovsyanyy;;;;
Плов с говядиной/бараниной;блюдо;buryy_ris;60;г;;ПРОВЕРЬ: раскладка на глаз, порция 250 г готового плова
Плов с говядиной/бараниной;блюдо;govyadina;90;г;;ПРОВЕРЬ: можно заменить бараниной (baranina)
Плов с говядиной/бараниной;блюдо;morkov;40;г;;ПРОВЕРЬ
Плов с говядиной/бараниной;блюдо;olivkovoe_maslo;5;мл;;ПРОВЕРЬ
Рисовые чипсы;товар;risovye_chipsy;;;;покупные, пачка 50 г
Стейки тунца, приготовленный на пару;блюдо;tunec_steyk;;;0.8;
Сыр козий «Адыгейский»;товар;syr_adygeyskiy;;;;
Тартин с брускеттой из вяленых томатов;блюдо;tartin;35;г;;ПРОВЕРЬ: порция 60 г = 35 г тартина + 25 г брускетты
Тартин с брускеттой из вяленых томатов;блюдо;brusketa;1;шт;;намазка 25 г
Тартин с творожным козьим сыром;блюдо;tartin;40;г;;порция 60 г: 40 хлеба + 20 сыра-намазки
Тартин с творожным козьим сыром;блюдо;syr_koziy;20;г;;намазка
Тост с говяжьим языком;блюдо;tost;30;г;;порция 50 г: 30 г хлеба + 20 г языка
Тост с говяжьим языком;блюдо;yazyk_govyazhiy;20;г;;
Хашбраун с зеленью;товар;hashbraun;;;;покупной полуфабрикат, 1 шт ≈ 80 г
Хлеб из пророщенной зеленой гречки;товар;hleb_grechnevyy;;;;покупной, ломтик 30 г
