id;name;shelf_days;freezable;category;pack;unit;url;kcal;prot;fat;carb;unit_g;search
syr_koziy;Творожный козий сыр;7;0;Молочное и заменители;150;г;https://vkusvill.ru/goods/syr-tvorozhnyy-koziy-25168/;260;7;24;3;1;творожный козий сыр
syr_adygeyskiy;Сыр «Адыгейский» козий;7;0;Молочное и заменители;;г;https://vkusvill.ru/goods/syr-koziy-adygeyskiy-43314/;240;17;18;1.5;1;адыгейский сыр козий
tofu;Тофу;14;0;Молочное и заменители;300;г;;76;8;4.8;2;1;тофу
kurinoe_file;Куриное филе;2;1;Мясо и птица;;г;https://vkusvill.ru/goods/kurinoe-file-gril-122839/;110;23;1.2;0;1;куриное филе
kotlety_indeyki;Котлеты из индейки (полуфабрикат);2;1;Мясо и птица;;г;https://vkusvill.ru/goods/kotlety-iz-indeyki-dieticheskie-38076/;140;16;8;2;1;котлеты из индейки
kotlety_krolika;Котлеты из кролика (полуфабрикат);2;1;Мясо и птица;;г;;150;15;9;3;1;котлеты из кролика
kotleta_govyadiny;Котлета из говядины «стейкбургер»;2;1;Мясо и птица;;г;;220;17;16;1;1;котлета стейкбургер
baranina;Баранина (корейка или вырезка);2;1;Мясо и птица;;г;;255;16;21;0;1;баранина корейка
vetchina_indeyki;Ветчина из индейки;7;0;Мясо и птица;;г;;100;17;3;1;1;ветчина из индейки
file_lososya;Филе лосося охлаждённое;2;1;Рыба и морепродукты;;г;;208;20;13;0;1;филе лосося
losos;Лосось (стейк);2;1;Рыба и морепродукты;;г;;208;20;13;0;1;стейк лосося
hek;Хек;2;1;Рыба и морепродукты;;г;;86;17;2.2;0;1;хек
tunec_steyk;Стейк тунца;2;1;Рыба и морепродукты;;г;;108;24;1;0;1;стейк тунца
tunec_konserv;Тунец консервированный;365;0;Рыба и морепродукты;120;г;https://vkusvill.ru/goods/tunets-polosatyy-vkusnye-konservy-kusochki-nat-pauch-123833/;100;21;1.5;0;1;тунец консервированный
grebeshki;Гребешки;2;1;Рыба и морепродукты;;г;;88;17;1;3;1;морской гребешок
krevetki;Креветки белоногие «королевские»;2;1;Рыба и морепродукты;;г;;87;18;1.2;0.8;1;креветки королевские
kotlety_schuki;Котлеты из щуки (полуфабрикат);2;1;Рыба и морепродукты;;г;;130;15;6;4;1;котлеты из щуки
semga_slabosol;Слабосолёная сёмга;5;0;Рыба и морепродукты;;г;;200;21;13;0;1;сёмга слабосолёная
ogurcy;Огурцы;5;0;Овощи и зелень;;г;;14;0.8;0.1;2.5;1;огурцы
pomidory_cherri;Помидоры черри;7;0;Овощи и зелень;;г;;20;1;0.2;3.5;1;помидоры черри
tomaty_rozovye;Розовые томаты («бычье сердце»);5;0;Овощи и зелень;;г;;20;1;0.2;3.8;1;томаты розовые
morkov;Морковь;21;0;Овощи и зелень;;г;;35;1.3;0.1;7;1;морковь
kartofel;Картофель;30;0;Овощи и зелень;;г;;77;2;0.4;16;1;картофель
svekla;Свёкла;21;0;Овощи и зелень;;г;;43;1.5;0.1;9;1;свёкла
tykva;Тыква;14;0;Овощи и зелень;;г;;26;1;0.1;6;1;тыква
kabachki;Кабачки;10;0;Овощи и зелень;;г;;24;0.6;0.3;4.6;1;кабачки
batat;Батат;14;0;Овощи и зелень;;г;;86;1.6;0.1;20;1;батат
listya_salata;Листья салата и зелень;4;0;Овощи и зелень;;г;;17;1.5;0.2;2.3;1;листья салата
banan;Бананы;4;0;Фрукты и ягоды;;г;;89;1.5;0.3;21;120;бананы
golubika;Голубика;3;0;Фрукты и ягоды;;г;;44;1;0.5;8;1;голубика
yagody;Свежие ягоды;3;0;Фрукты и ягоды;;г;;45;1;0.4;9;1;ягоды
persik;Персик;4;0;Фрукты и ягоды;;г;;45;0.9;0.1;10;150;персик
persik_ili_nektarin;Персик или нектарин;4;0;Фрукты и ягоды;;г;;46;1;0.2;10;150;нектарин
mango;Манго;4;0;Фрукты и ягоды;;г;;60;0.8;0.4;14;1;манго
avokado;Авокадо;5;0;Фрукты и ягоды;;г;;160;2;15;9;1;авокадо
finiki;Финики «меджул»;90;0;Фрукты и ягоды;;шт;;277;1.8;0.2;69;24;финики меджул
hlebcy;Хлебцы из зелёной гречки;90;0;Хлеб и снеки;;шт;https://vkusvill.ru/goods/khlebtsy-iz-zelenoy-grechki-s-zelenyu-i-semechkami-tykvy-98236/;330;12;3;62;10;хлебцы зелёная гречка
tartin;Тартин;5;0;Хлеб и снеки;;г;https://vkusvill.ru/goods/tartin-pshenichno-rzhanoy-32931/;250;8;2;48;35;тартин
tost;Хлеб для тостов (без глютена);7;0;Хлеб и снеки;;г;;240;4;3;48;25;хлеб без глютена
onigiri;Онигири с тунцом;2;0;Хлеб и снеки;;г;;170;6;3;30;110;онигири с тунцом
brusketa;Брускета с вялеными томатами;2;0;Хлеб и снеки;;шт;https://vkusvill.ru/goods/brusketta-iz-vyalenykh-tomatov-s-keshyu-38367/;250;6;18;14;25;брускетта вяленые томаты
chipsy;Чипсы;90;0;Хлеб и снеки;60;г;https://vkusvill.ru/goods/chipsy-s-gimalayskoy-solyu-60653/;520;6;33;50;1;чипсы
marmelad;Мармелад;90;0;Хлеб и снеки;;шт;https://vkusvill.ru/goods/marmelad-kosichki-sestrichki-iz-yablok-110249/;320;0.1;0;80;10;мармелад
pechene_vitlen;Печенье «Vitlen»;90;0;Хлеб и снеки;;шт;https://idietum.ru/product/pechene-vitlen-s-grechnevoj-mukoj-i-shokoladom-na-maltite-bezglyut-200gr/;430;8;18;58;12;печенье vitlen
pechene_mariya;Сухое печенье «Мария»;90;0;Хлеб и снеки;;шт;;400;8;9;70;7;печенье мария
brauni;Брауни из зелёной гречки;5;0;Хлеб и снеки;;г;https://www.ozon.ru/product/brauni-iz-zelenoy-grechki-120-g-grechkabread-bez-glyutena-sahara-i-drozhzhey-vegan-1782390999/;350;9;15;45;40;брауни зелёная гречка
morkovnyy_keks;Морковный кекс с грецким орехом;5;0;Хлеб и снеки;;г;https://vkusvill.ru/goods/keks-morkovnyy-s-gretskim-orekhom-68131/;380;5;20;45;60;морковный кекс
perepelinye_yayca;Перепелиные яйца;21;0;Яйца;20;шт;;168;12;13;0.6;12;яйца перепелиные
kostnyy_bulon;Костный бульон;5;1;Прочее;;мл;;30;5;1;0.5;1;костный бульон
borsch;Борщ с томлёной щекой (кулинария);3;1;Прочее;;мл;;60;3;3;5;1;борщ томлёная щека
dynya;Дыня;5;0;Фрукты и ягоды;;г;;35;0.6;0.2;8;1;дыня
kivi;Киви;10;0;Фрукты и ягоды;;г;;61;1.1;0.5;15;75;киви
abrikosy;Абрикосы;5;0;Фрукты и ягоды;;г;;44;0.9;0.1;9;40;абрикосы
limon;Лимон;21;0;Фрукты и ягоды;;г;;29;1.1;0.3;9;100;лимон
morskaya_kapusta;Морская капуста;7;0;Овощи и зелень;200;г;;25;0.9;0.2;3;1;морская капуста
ezhiki_indeyki;Ежики из индейки (полуфабрикат);2;1;Мясо и птица;300;г;https://vkusvill.ru/goods/ezhiki-iz-indeyki-30042/;150;13;8;7;1;ежики из индейки
farsh_govyazhiy;Фарш говяжий (нежирный);2;1;Мясо и птица;;г;;200;18;14;0;1;фарш говяжий
govyadina;Говядина (мякоть для тушения);2;1;Мясо и птица;;г;;190;20;12;0;1;говядина для тушения
yazyk_govyazhiy;Язык говяжий отварной;5;0;Мясо и птица;;г;https://vkusvill.ru/goods/yazyk-govyazhiy-traditsionnyy-21384/;230;16;18;0;1;язык говяжий отварной
pechene_ovsyanoe;Овсяное печенье с миндалём без сахара;90;0;Хлеб и снеки;;шт;https://vkusvill.ru/goods/pechene-ovsyanoe-s-mindalem-bez-sakhara-96820/;430;8;19;55;20;овсяное печенье миндаль
risovye_chipsy;Рисовые чипсы;180;0;Хлеб и снеки;50;г;;450;6;18;68;1;рисовые чипсы
hashbraun;Хашбраун с сыром и зеленью;30;1;Прочее;2;шт;https://vkusvill.ru/goods/khashbraun-s-syrom-i-zelenyu-60066/;190;4;10;21;80;хашбраун
hleb_grechnevyy;Хлеб из пророщенной зелёной гречки;10;0;Хлеб и снеки;250;г;https://idietum.ru/product/hleb-iz-proroshhennoj-zelenoj-grechki-250gr/;210;7;3.5;38;1;хлеб зелёная гречка
velle_pitevoy_ovsyanyy;Питьевой овсяный йогурт «Velle»;7;0;Молочное и заменители;230;г;;60;1.3;1.6;10;1;velle овсяный питьевой
steyk_ribay;Стейк рибай/стриплойн (мраморная говядина);2;1;Мясо и птица;;г;;270;18;22;0;1;стейк рибай
telyachi_schechki;Телячьи щёчки;2;1;Мясо и птица;;г;;130;19;6;0;1;телячьи щёчки
kuskus;Кус-кус;365;0;Крупы и мука;500;г;;376;12.8;0.6;77;1;кускус
cvetnaya_kapusta;Цветная капуста;7;0;Овощи и зелень;;г;;30;2.5;0.3;4.2;1;цветная капуста
kukuruza_mini;Кукуруза мини;7;0;Овощи и зелень;;г;;26;2.5;0.4;4.1;1;кукуруза мини
rukkola;Руккола;4;0;Овощи и зелень;125;г;;25;2.6;0.7;3.7;1;руккола
masliny;Маслины без косточки;365;0;Бакалея;300;г;;115;0.8;10.7;6.3;1;маслины без косточки
nutrison_advanced;Смесь Nutrison Advanced Nutridrink (сухая);365;0;Аптека;322;г;;462;18.5;18.2;56.4;1;nutrison advanced nutridrink
granatovyy_sok;Гранатовый сок;180;0;Бакалея;750;мл;;60;0.3;0;14.5;1;гранатовый сок
inzhir;Инжир свежий;4;0;Фрукты и ягоды;;г;;74;0.7;0.3;19;50;инжир
shpinat;Шпинат свежий;4;0;Овощи и зелень;;г;;23;2.9;0.4;2;1;шпинат
